City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atuona,-9.8,-139.0333,77.5,68,5,21.0,PF,1660502471
Hermanus,-34.4187,19.2345,42.8,61,97,4.59,ZA,1660502735
Saldanha,-33.0117,17.9442,48.25,68,0,11.83,ZA,1660502736
Dikson,73.5069,80.5464,42.22,98,100,2.82,RU,1660502736
Zhigansk,66.7697,123.3711,53.67,96,100,6.11,RU,1660502737
Ahipara,-35.1667,173.1667,52.63,86,100,5.48,NZ,1660502737
Kavaratti,10.5669,72.642,81.09,79,100,9.55,IN,1660502737
Romitan,39.9343,64.3814,80.55,28,0,9.22,UZ,1660502738
Souillac,-20.5167,57.5167,70.18,73,75,14.97,MU,1660502738
Kapaa,22.0752,-159.319,81.48,75,40,13.8,US,1660502738
Gebre Guracha,9.8,38.4,54.82,86,96,1.32,ET,1660502739
Yellowknife,62.456,-114.3525,73.92,46,0,11.5,CA,1660502669
Barrow,71.2906,-156.7887,33.82,93,100,6.91,US,1660502739
Avera,33.194,-82.5271,89.55,34,29,1.45,US,1660502740
Yerofey Pavlovich,53.9667,121.9667,52.3,90,14,2.84,RU,1660502740
Albany,42.6001,-73.9662,83.62,39,0,1.01,US,1660502530
São João da Barra,-21.6403,-41.0511,77.09,59,0,16.24,BR,1660502740
Kohlu,29.8962,69.252,74.71,76,31,1.9,PK,1660502665
Manuk Mangkaw,4.8,119.85,83.89,69,99,7.76,PH,1660502741
Sorgun,39.8101,35.186,72.27,54,0,7.81,TR,1660502741
Busselton,-33.65,115.3333,56.35,73,100,10.54,AU,1660502742
Medina del Campo,41.3124,-4.9141,80.71,21,79,10.2,ES,1660502742
Mago,53.2514,140.1822,52.41,95,20,1.03,RU,1660502742
Touros,-5.1989,-35.4608,79.56,66,31,19.8,BR,1660502743
Portland,45.5234,-122.6762,78.58,63,20,5.99,US,1660502506
Rikitea,-23.1203,-134.9692,72.97,78,0,18.95,PF,1660502743
Port Hedland,-20.3167,118.5667,66.25,77,0,6.91,AU,1660502743
Cape Town,-33.9258,18.4232,51.91,65,20,5.75,ZA,1660502671
Ararat,39.8317,44.7049,86.34,33,0,5.82,AM,1660502744
Alofi,-19.0595,-169.9187,71.49,73,100,17.27,NU,1660502744
Bredasdorp,-34.5322,20.0403,47.57,65,85,2.91,ZA,1660502744
Jamestown,42.097,-79.2353,80.06,32,75,5.99,US,1660502745
Yārāda,17.65,83.2667,80.92,83,100,12.66,IN,1660502745
Cherskiy,68.75,161.3,36.99,85,23,10.69,RU,1660502745
Tortolì,39.9256,9.6572,80.42,78,75,12.66,IT,1660502746
Lompoc,34.6391,-120.4579,73.85,88,100,11.5,US,1660502746
Mataura,-46.1927,168.8643,34.54,97,97,3.02,NZ,1660502747
Galesong,-5.3166,119.3661,71.62,77,0,4.65,ID,1660502747
Torbay,47.6666,-52.7314,70.29,92,100,8.05,CA,1660502729
Vardø,70.3705,31.1107,51.78,66,0,13.8,NO,1660502747
Ulan-Ude,51.8261,107.6098,53.49,76,11,4.47,RU,1660502748
Saskylakh,71.9167,114.0833,40.69,79,0,2.24,RU,1660502748
Codrington,-38.2667,141.9667,49.96,88,94,15.05,AU,1660502748
Edremit,39.5961,27.0244,76.75,65,40,3.44,TR,1660502749
Hilo,19.7297,-155.09,81.28,72,20,5.99,US,1660502749
Ushuaia,-54.8,-68.3,38.86,81,75,20.71,AR,1660502749
Altay,47.8667,88.1167,59.63,49,0,5.46,CN,1660502750
Konosha,60.9736,40.257,56.55,79,4,1.41,RU,1660502750
Sturgeon Falls,46.3646,-79.9326,76.96,40,100,2.39,CA,1660502751
Mount Hagen,-5.8581,144.2274,58.14,98,97,2.68,PG,1660502751
New Norfolk,-42.7826,147.0587,51.3,84,99,1.01,AU,1660502751
Airai,-8.9266,125.4092,55.0,79,25,3.22,TL,1660502752
Te Anau,-45.4167,167.7167,34.48,95,100,1.32,NZ,1660502752
Cortez,37.3489,-108.5859,85.93,34,20,6.91,US,1660502752
Tuktoyaktuk,69.4541,-133.0374,42.8,100,100,12.66,CA,1660502753
Tiksi,71.6872,128.8694,40.82,95,44,4.32,RU,1660502753
Thompson,55.7435,-97.8558,71.76,46,20,6.91,CA,1660502728
Mount Gambier,-37.8333,140.7667,48.27,93,78,9.28,AU,1660502753
Margate,51.3813,1.3862,75.87,75,100,3.0,GB,1660502754
Sūsangerd,31.5608,48.1831,102.58,17,0,0.74,IR,1660502754
Māndal,25.45,74.5667,77.99,81,100,6.06,IN,1660502754
Olinda,-8.0089,-34.8553,80.33,57,40,13.8,BR,1660502755
Mindelo,16.8901,-24.9804,81.95,69,75,12.66,CV,1660502755
Ribeira Grande,38.5167,-28.7,81.0,83,40,14.97,PT,1660502756
Abu Dhabi,24.4667,54.3667,95.11,66,6,8.05,AE,1660502642
Punta Arenas,-53.15,-70.9167,39.31,81,75,19.57,CL,1660502756
Cayenne,4.9333,-52.3333,87.84,1,0,12.66,GF,1660502745
Xiongyue,40.1774,122.1228,77.32,98,100,9.01,CN,1660502757
Ostrovnoy,68.0531,39.5131,48.36,89,14,4.65,RU,1660502757
Tasiilaq,65.6145,-37.6368,48.36,66,36,0.58,GL,1660502757
Upata,8.0086,-62.3989,87.19,82,73,4.5,VE,1660502758
Batemans Bay,-35.7167,150.1833,54.1,56,19,9.04,AU,1660502758
Hasaki,35.7333,140.8333,77.29,90,74,5.14,JP,1660502758
Kiruna,67.8557,20.2251,56.32,67,20,0.0,SE,1660502759
Dingle,10.9995,122.6711,75.83,93,100,8.46,PH,1660502499
Ambon City,-3.6954,128.1814,77.14,88,40,3.44,ID,1660502759
Chui,-33.6971,-53.4616,66.54,73,0,9.91,UY,1660502760
Krasnyy Yar,46.5331,48.3456,78.73,26,18,6.49,RU,1660502760
Chake Chake,-5.2459,39.7666,73.26,79,31,8.01,TZ,1660502760
Anito,12.4497,125.2886,76.93,89,100,4.14,PH,1660502761
Tuatapere,-46.1333,167.6833,37.99,90,100,6.04,NZ,1660502761
Yulara,-25.2406,130.9889,57.33,38,0,7.56,AU,1660502761
Tura,25.5198,90.2201,74.05,94,100,5.5,IN,1660502501
Kalmunai,7.4167,81.8167,79.66,85,55,2.51,LK,1660502762
Provost,52.3501,-110.2683,75.65,41,12,12.24,CA,1660502762
Mahébourg,-20.4081,57.7,70.09,73,75,14.97,MU,1660502763
Norman Wells,65.282,-126.8329,68.04,68,75,10.36,CA,1660502763
Kavieng,-2.5744,150.7967,80.35,74,99,7.38,PG,1660502764
Butaritari,3.0707,172.7902,81.34,76,25,14.79,KI,1660502764
Qaanaaq,77.484,-69.3632,43.83,71,99,11.3,GL,1660502764
Bluff,-46.6,168.3333,43.57,84,100,7.92,NZ,1660502765
